i t_now Tx Ty Tz theta_x_filt theta_y_filt 
2644 14.229263067245483 -0.02456671653125073 0.005063693424340091 0.0 -1.6388366287639244e-11 7.881945624996324e-12 
2645 14.234570026397705 -0.024566716515208673 0.005063693390984986 0.0 -1.2291274715729433e-11 5.911459218747243e-12 
2646 14.23983120918274 -0.02456671650317713 0.0050636933659686575 0.0 -9.218456036797075e-12 4.433594414060432e-12 
2647 14.24518632888794 -0.02456671649415347 0.00506369334720641 0.0 -6.913842027597807e-12 3.325195810545324e-12 
2648 14.250443935394287 -0.024566716487385728 0.005063693333134725 0.0 -5.185381520698355e-12 2.4938968579089932e-12 
2649 14.255707502365112 -0.024566716482309917 0.005063693322580961 0.0 -3.8890361405237655e-12 1.870422643431745e-12 
2650 14.260948896408081 -0.02456671647850306 0.005063693314665639 0.0 -2.916777105392824e-12 1.4028169825738086e-12 
2651 14.266348361968994 -0.024566716475647923 0.005063693308729147 0.0 -2.1875828290446182e-12 1.0521127369303565e-12 
2652 14.271690130233765 -0.024566716473506566 0.005063693304276778 0.0 -1.6406871217834637e-12 7.890845526977674e-13 
2653 14.277001142501831 -0.02456671647190055 0.0050636933009375 0.0 -1.2305153413375978e-12 5.918134145233255e-13 
2654 14.282340049743652 -0.02456671647069603 0.005063693298433043 0.0 -9.228865060031984e-13 4.4386006089249416e-13 
2655 14.287617921829224 -0.024566716469792648 0.005063693296554699 0.0 -6.921648795023987e-13 3.328950456693706e-13 
2656 14.292961597442627 -0.024566716469115114 0.005063693295145943 0.0 -5.191236596267991e-13 2.49671284252028e-13 
2657 14.298187732696533 -0.02456671646860696 0.005063693294089375 0.0 -3.893427447200993e-13 1.87253463189021e-13 
2658 14.30344271659851 -0.024566716468225846 0.0050636932932969485 0.0 -2.9200705854007447e-13 1.4044009739176575e-13 
2659 14.308696031570435 -0.02456671646794001 0.005063693292702629 0.0 -2.1900529390505585e-13 1.0533007304382431e-13 
2660 14.313918590545654 -0.024566716467725635 0.005063693292256889 0.0 -1.6425397042879188e-13 7.899755478286823e-14 
2661 14.319263935089111 -0.02456671646756485 0.005063693291922584 0.0 -1.2319047782159392e-13 5.924816608715117e-14 
2662 14.324635982513428 -0.024566716467444263 0.005063693291671856 0.0 -9.239285836619544e-14 4.443612456536338e-14 
2663 14.329981327056885 -0.02456671646735382 0.00506369329148381 0.0 -6.929464377464658e-14 3.332709342402253e-14 
2664 14.335481882095337 -0.024566716467285993 0.005063693291342775 0.0 -5.1970982830984934e-14 2.4995320068016898e-14 
2665 14.340805530548096 -0.024566716467235118 0.005063693291236998 0.0 -3.89782371232387e-14 1.8746490051012672e-14 
2666 14.346094846725464 -0.024566716467196967 0.005063693291157667 0.0 -2.923367784242902e-14 1.4059867538259504e-14 
2667 14.351524829864502 -0.02456671646716835 0.0050636932910981675 0.0 -2.1925258381821767e-14 1.0544900653694628e-14 
2668 14.356797218322754 -0.024566716467146886 0.005063693291053543 0.0 -1.6443943786366326e-14 7.908675490270972e-15 
2669 14.36202073097229 -0.02456671646713079 0.005063693291020075 0.0 -1.2332957839774744e-14 5.931506617703229e-15 
2670 14.36723518371582 -0.02456671646711872 0.005063693290994974 0.0 -9.249718379831058e-15 4.448629963277422e-15 
2671 14.372582197189331 -0.024566716467109662 0.005063693290976149 0.0 -6.937288784873293e-15 3.3364724724580664e-15 
2672 14.377861499786377 -0.024566716467102873 0.005063693290962029 0.0 -5.20296658865497e-15 2.50235435434355e-15 
2673 14.383159875869751 -0.024566716467097783 0.0050636932909514385 0.0 -3.9022249414912276e-15 1.8767657657576625e-15 
2674 14.388435363769531 -0.024566716467093963 0.005063693290943498 0.0 -2.9266687061184207e-15 1.4075743243182468e-15 
2675 14.393698453903198 -0.024566716467091097 0.00506369329093754 0.0 -2.1950015295888154e-15 1.0556807432386851e-15 
2676 14.398933172225952 -0.024566716467088943 0.005063693290933073 0.0 -1.6462511471916115e-15 7.917605574290138e-16 
2677 14.404184818267822 -0.024566716467087333 0.0050636932909297215 0.0 -1.2346883603937085e-15 5.938204180717603e-16 
2678 14.409523725509644 -0.024566716467086126 0.00506369329092721 0.0 -9.260162702952814e-16 4.453653135538203e-16 
2679 14.414762735366821 -0.02456671646708522 0.005063693290925325 0.0 -6.94512202721461e-16 3.340239851653652e-16 
2680 14.420032978057861 -0.024566716467084537 0.005063693290923911 0.0 -5.208841520410957e-16 2.5051798887402387e-16 
2681 14.425362348556519 -0.02456671646708403 0.005063693290922852 0.0 -3.9066311403082176e-16 1.878884916555179e-16 
2682 14.430663824081421 -0.02456671646708365 0.005063693290922057 0.0 -2.929973355231163e-16 1.4091636874163841e-16 
